step time temperature strxx stryy strzz lx ly lz
6700 0.670000 99.255425 -0.494457 -0.509011 -0.507997 34.322625 34.387078 34.462059 
6800 0.680000 99.582219 -0.494973 -0.506598 -0.504406 34.320723 34.390176 34.464815 
6900 0.690000 99.938236 -0.495256 -0.504979 -0.500579 34.318997 34.392445 34.466333 
7000 0.700000 100.248642 -0.495263 -0.504423 -0.497096 34.317369 34.394158 34.466533 
7100 0.710000 100.432650 -0.495176 -0.504883 -0.494640 34.315744 34.395679 34.465532 
7200 0.720000 100.429901 -0.495420 -0.505825 -0.493804 34.314088 34.397359 34.463684 
7300 0.730000 100.253001 -0.496466 -0.506263 -0.494680 34.312517 34.399363 34.461549 
7400 0.740000 99.977435 -0.498616 -0.505408 -0.496678 34.311304 34.401517 34.459716 
7500 0.750000 99.716119 -0.501699 -0.503152 -0.498672 34.310829 34.403377 34.458571 
7600 0.760000 99.592923 -0.505016 -0.499870 -0.499591 34.311412 34.404462 34.458113 
7700 0.770000 99.675568 -0.507607 -0.496144 -0.499220 34.313133 34.404417 34.457972 
7800 0.780000 99.956417 -0.508615 -0.492506 -0.498218 34.315743 34.403090 34.457703 
7900 0.790000 100.380741 -0.507707 -0.489281 -0.497496 34.318699 34.400512 34.457090 
8000 0.800000 100.843542 -0.505279 -0.486672 -0.497838 34.321344 34.396825 34.456227 
8100 0.810000 101.190854 -0.502299 -0.484972 -0.499765 34.323156 34.392240 34.455482 
8200 0.820000 101.299022 -0.499857 -0.484405 -0.503169 34.323945 34.387072 34.455401 
8300 0.830000 101.196547 -0.498564 -0.484774 -0.507003 34.323896 34.381710 34.456493 
8400 0.840000 100.986241 -0.498597 -0.485660 -0.510082 34.323403 34.376475 34.458906 
8500 0.850000 100.659907 -0.499973 -0.486890 -0.512474 34.322922 34.371545 34.462380 
8600 0.860000 100.194250 -0.502254 -0.488559 -0.514575 34.322913 34.367039 34.466679 
8700 0.870000 99.663957 -0.504603 -0.490881 -0.515967 34.323686 34.363107 34.471703 
8800 0.880000 99.182148 -0.506330 -0.493999 -0.515851 34.325266 34.359974 34.477207 
8900 0.890000 98.857005 -0.507171 -0.497622 -0.513665 34.327439 34.357911 34.482672 
9000 0.900000 98.742795 -0.507179 -0.500937 -0.509822 34.329901 34.357095 34.487384 
9100 0.910000 98.787218 -0.506497 -0.503106 -0.505903 34.332365 34.357417 34.490771 
9200 0.920000 98.910313 -0.505316 -0.503779 -0.503207 34.334596 34.358484 34.492807 
9300 0.930000 99.093523 -0.503832 -0.503189 -0.501677 34.336421 34.359782 34.493913 
9400 0.940000 99.323400 -0.502377 -0.501964 -0.500630 34.337737 34.360878 34.494492 
9500 0.950000 99.515177 -0.501672 -0.500784 -0.499668 34.338553 34.361553 34.494709 
9600 0.960000 99.576493 -0.502371 -0.499973 -0.498777 34.339127 34.361822 34.494594 
9700 0.970000 99.488535 -0.504339 -0.499482 -0.498149 34.339941 34.361813 34.494173 
9800 0.980000 99.267377 -0.506984 -0.499272 -0.498018 34.341431 34.361635 34.493534 
9900 0.990000 98.921009 -0.509886 -0.499445 -0.498390 34.343830 34.361384 34.492850 
10000 1.000000 98.499198 -0.512619 -0.499968 -0.498975 34.347225 34.361194 34.492295 
10100 1.010000 98.129421 -0.514414 -0.500534 -0.499370 34.351559 34.361183 34.491942 
10200 1.020000 97.927475 -0.514677 -0.500737 -0.499425 34.356511 34.361367 34.491724 
10300 1.030000 97.873330 -0.513811 -0.500380 -0.499430 34.361553 34.361620 34.491526 
10400 1.040000 97.833078 -0.512952 -0.499549 -0.499849 34.366299 34.361751 34.491329 
10500 1.050000 97.693838 -0.512949 -0.498546 -0.500784 34.370750 34.361596 34.491277 
10600 1.060000 97.462373 -0.513768 -0.497729 -0.501662 34.375201 34.361096 34.491548 
10700 1.070000 97.267876 -0.514626 -0.497364 -0.501465 34.379934 34.360315 34.492121 
10800 1.080000 97.266079 -0.514497 -0.497454 -0.499527 34.384962 34.359410 34.492626 
10900 1.090000 97.513426 -0.512867 -0.497763 -0.496267 34.389947 34.358535 34.492463 
11000 1.100000 97.922413 -0.510121 -0.498000 -0.492900 34.394372 34.357766 34.491176 
11100 1.110000 98.319390 -0.507175 -0.498161 -0.490638 34.397853 34.357079 34.488727 
11200 1.120000 98.554802 -0.504734 -0.498562 -0.490071 34.400321 34.356447 34.485498 
11300 1.130000 98.599313 -0.502936 -0.499473 -0.490894 34.401950 34.355953 34.482074 
11400 1.140000 98.552912 -0.501464 -0.500829 -0.492109 34.402960 34.355772 34.478934 
11500 1.150000 98.530336 -0.500054 -0.502420 -0.492797 34.403464 34.356057 34.476213 
11600 1.160000 98.535768 -0.498952 -0.504119 -0.492804 34.403482 34.356888 34.473730 
11700 1.170000 98.500611 -0.498541 -0.505738 -0.492671 34.403121 34.358303 34.471249 
11800 1.180000 98.393615 -0.498787 -0.506817 -0.493127 34.402619 34.360275 34.468723 
11900 1.190000 98.246252 -0.499293 -0.506855 -0.494627 34.402202 34.362617 34.466354 
12000 1.200000 98.124700 -0.499514 -0.505696 -0.497089 34.401959 34.364973 34.464502 
12100 1.210000 98.094692 -0.499041 -0.503622 -0.499981 34.401791 34.366930 34.463499 
12200 1.220000 98.163232 -0.497828 -0.501252 -0.502820 34.401461 34.368175 34.463492 
12300 1.230000 98.241945 -0.496101 -0.499504 -0.505567 34.400714 34.368605 34.464464 
12400 1.240000 98.237481 -0.494081 -0.499108 -0.508324 34.399373 34.368435 34.466383 
12500 1.250000 98.134027 -0.491971 -0.500007 -0.511002 34.397337 34.368128 34.469252 
12600 1.260000 97.948279 -0.490272 -0.501556 -0.513406 34.394575 34.368130 34.473044 
12700 1.270000 97.692873 -0.489682 -0.503033 -0.515269 34.391229 34.368665 34.477665 
12800 1.280000 97.409519 -0.490527 -0.503927 -0.516200 34.387681 34.369707 34.482930 
12900 1.290000 97.170190 -0.492421 -0.503945 -0.516048 34.384423 34.371057 34.488516 
13000 1.300000 97.030399 -0.494519 -0.502976 -0.515249 34.381817 34.372413 34.494051 
13100 1.310000 96.999977 -0.496156 -0.501141 -0.514409 34.379932 34.373436 34.499311 
13200 1.320000 97.039990 -0.497429 -0.498757 -0.513715 34.378611 34.373828 34.504282 
13300 1.330000 97.071489 -0.499095 -0.496315 -0.512911 34.377727 34.373401 34.509014 
13400 1.340000 97.049227 -0.501615 -0.494277 -0.511570 34.377416 34.372134 34.513470 
13500 1.350000 97.033645 -0.504404 -0.492823 -0.509358 34.377971 34.370167 34.517463 
13600 1.360000 97.102176 -0.506540 -0.491801 -0.506473 34.379485 34.367700 34.520693 
13700 1.370000 97.261168 -0.507741 -0.490860 -0.503555 34.381733 34.364882 34.522928 
13800 1.380000 97.509687 -0.507971 -0.489620 -0.501116 34.384395 34.361741 34.524155 
13900 1.390000 97.851131 -0.507256 -0.487952 -0.499336 34.387136 34.358174 34.524541 
14000 1.400000 98.230676 -0.506130 -0.486058 -0.498232 34.389631 34.354035 34.524311 
14100 1.410000 98.558142 -0.505358 -0.484272 -0.497738 34.391739 34.349245 34.523701 
14200 1.420000 98.804620 -0.505226 -0.482904 -0.497517 34.393581 34.343843 34.522920 
14300 1.430000 99.013539 -0.505414 -0.482211 -0.497084 34.395379 34.337971 34.522063 
14400 1.440000 99.195282 -0.505568 -0.482343 -0.496510 34.397241 34.331863 34.521056 
14500 1.450000 99.252398 -0.505803 -0.483518 -0.496511 34.399156 34.325801 34.519851 
14600 1.460000 99.061250 -0.506620 -0.485820 -0.497656 34.401152 34.320143 34.518647 
14700 1.470000 98.618257 -0.508340 -0.488675 -0.499915 34.403430 34.315277 34.517837 
14800 1.480000 97.972990 -0.510938 -0.491549 -0.502951 34.406299 34.311391 34.517808 
14900 1.490000 97.150605 -0.514221 -0.494540 -0.506260 34.410063 34.308491 34.518827 
15000 1.500000 96.264854 -0.517585 -0.497611 -0.508911 34.414956 34.306617 34.520988 
15100 1.510000 95.562822 -0.519856 -0.500068 -0.509942 34.421008 34.305798 34.524064 
15200 1.520000 95.278662 -0.519868 -0.501086 -0.509058 34.427842 34.305821 34.527496 
15300 1.530000 95.474782 -0.517295 -0.500474 -0.506717 34.434683 34.306194 34.530624 
15400 1.540000 96.007405 -0.512895 -0.498906 -0.503771 34.440638 34.306356 34.532943 
15500 1.550000 96.622999 -0.508037 -0.497425 -0.501065 34.445079 34.305981 34.534245 
15600 1.560000 97.099605 -0.503952 -0.496829 -0.499103 34.447847 34.305098 34.534613 
15700 1.570000 97.342162 -0.501210 -0.497379 -0.497894 34.449209 34.304010 34.534304 
15800 1.580000 97.403862 -0.499592 -0.498669 -0.497149 34.449625 34.303111 34.533576 
15900 1.590000 97.409935 -0.498380 -0.499978 -0.496692 34.449485 34.302654 34.532592 
16000 1.600000 97.429073 -0.496889 -0.501085 -0.496592 34.448927 34.302646 34.531449 
16100 1.610000 97.504673 -0.494693 -0.501973 -0.496836 34.447855 34.303018 34.530272 
16200 1.620000 97.724785 -0.491843 -0.502264 -0.496870 34.446027 34.303695 34.529180 
16300 1.630000 98.137114 -0.489126 -0.501696 -0.495897 34.443217 34.304472 34.528099 
16400 1.640000 98.654313 -0.487408 -0.500714 -0.493869 34.439472 34.305054 34.526683 
16500 1.650000 99.047558 -0.487013 -0.500425 -0.492046 34.435135 34.305298 34.524566 
16600 1.660000 99.088276 -0.487756 -0.501839 -0.491908 34.430663 34.305444 34.521820 
16700 1.670000 98.686325 -0.489351 -0.505151 -0.494047 34.426448 34.306075 34.519027 
16800 1.680000 97.894434 -0.491716 -0.509603 -0.498044 34.422781 34.307842 34.516972 
16900 1.690000 96.912573 -0.494662 -0.513739 -0.502734 34.419930 34.311137 34.516296 
17000 1.700000 96.056859 -0.497562 -0.515975 -0.506542 34.418093 34.315851 34.517240 
17100 1.710000 95.533336 -0.500065 -0.515710 -0.508345 34.417253 34.321333 34.519498 
17200 1.720000 95.297381 -0.502416 -0.513621 -0.508178 34.417276 34.326725 34.522379 
17300 1.730000 95.210848 -0.504715 -0.510679 -0.506940 34.418107 34.331401 34.525202 
17400 1.740000 95.233075 -0.506495 -0.507361 -0.505326 34.419730 34.335067 34.527598 
17500 1.750000 95.444278 -0.506940 -0.503874 -0.503296 34.421966 34.337594 34.529437 
17600 1.760000 95.912160 -0.505441 -0.500739 -0.500520 34.424355 34.338924 34.530575 
17700 1.770000 96.561122 -0.502251 -0.498764 -0.497135 34.426228 34.339178 34.530755 
17800 1.780000 97.213181 -0.498301 -0.498479 -0.493848 34.427002 34.338754 34.529765 
17900 1.790000 97.727453 -0.494558 -0.499685 -0.491379 34.426417 34.338231 34.527641 
18000 1.800000 98.064811 -0.491773 -0.501541 -0.489992 34.424544 34.338123 34.524664 
18100 1.810000 98.252250 -0.490445 -0.503086 -0.489550 34.421712 34.338652 34.521209 
18200 1.820000 98.313928 -0.490646 -0.503809 -0.489951 34.418423 34.339712 34.517601 
18300 1.830000 98.244790 -0.491936 -0.503830 -0.491354 34.415204 34.341020 34.514133 
18400 1.840000 98.053177 -0.493435 -0.503713 -0.493793 34.412428 34.342335 34.511149 
18500 1.850000 97.786224 -0.494252 -0.504070 -0.496900 34.410169 34.343611 34.509006 
18600 1.860000 97.488743 -0.494158 -0.505187 -0.500041 34.408191 34.345008 34.507936 
18700 1.870000 97.185253 -0.493736 -0.506839 -0.502596 34.406181 34.346790 34.507951 
18800 1.880000 96.895456 -0.493790 -0.508415 -0.504187 34.404026 34.349138 34.508846 
18900 1.890000 96.607114 -0.494824 -0.509456 -0.504990 34.401890 34.352029 34.510291 
19000 1.900000 96.264045 -0.496905 -0.510009 -0.505541 34.400109 34.355277 34.512014 
19100 1.910000 95.828884 -0.499848 -0.510321 -0.506151 34.399044 34.358716 34.513926 
19200 1.920000 95.354804 -0.503263 -0.510418 -0.506471 34.398992 34.362262 34.516049 
19300 1.930000 94.966827 -0.506452 -0.510243 -0.505848 34.400114 34.365842 34.518282 
19400 1.940000 94.759723 -0.508754 -0.509874 -0.503936 34.402334 34.369362 34.520301 
19500 1.950000 94.757621 -0.509935 -0.509315 -0.500967 34.405345 34.372756 34.521660 
19600 1.960000 94.952833 -0.510101 -0.508248 -0.497513 34.408763 34.375958 34.521994 
19700 1.970000 95.275171 -0.509653 -0.506407 -0.494504 34.412239 34.378793 34.521135 
19800 1.980000 95.590573 -0.509207 -0.503810 -0.492908 34.415561 34.380996 34.519238 
19900 1.990000 95.806870 -0.509194 -0.500535 -0.493193 34.418729 34.382306 34.516790 
20000 2.000000 95.907149 -0.509632 -0.496755 -0.495191 34.421894 34.382490 34.514441 
20100 2.010000 95.896762 -0.510313 -0.493003 -0.498353 34.425209 34.381374 34.512781 
20200 2.020000 95.789250 -0.511041 -0.489970 -0.501851 34.428760 34.378968 34.512212 
20300 2.030000 95.643075 -0.511578 -0.488119 -0.504677 34.432561 34.375520 34.512851 
20400 2.040000 95.568264 -0.511517 -0.487533 -0.505905 34.436548 34.371436 34.514465 
20500 2.050000 95.656267 -0.510586 -0.488017 -0.505107 34.440514 34.367151 34.516503 
20600 2.060000 95.872778 -0.509155 -0.489287 -0.502789 34.444159 34.363033 34.518266 
20700 2.070000 96.056145 -0.508156 -0.491090 -0.500183 34.447313 34.359352 34.519229 
20800 2.080000 96.076582 -0.508232 -0.493112 -0.498264 34.450122 34.356290 34.519292 
20900 2.090000 95.965909 -0.509123 -0.494821 -0.497183 34.452958 34.353924 34.518693 
21000 2.100000 95.884602 -0.509856 -0.495576 -0.496597 34.456101 34.352145 34.517721 
21100 2.110000 95.998093 -0.509299 -0.495025 -0.496194 34.459497 34.350625 34.516546 
