step time dx dv
16800 8.400000 -0.012347 -0.097410
16900 8.450000 -0.016820 -0.080584
17000 8.500000 -0.020321 -0.058715
17100 8.550000 -0.022629 -0.033085
17200 8.600000 -0.023594 -0.005304
17300 8.650000 -0.023153 0.022824
17400 8.700000 -0.021336 0.049463
17500 8.750000 -0.018260 0.072913
17600 8.800000 -0.014122 0.091756
17700 8.850000 -0.009179 0.104957
17800 8.900000 -0.003730 0.111911
17900 8.950000 0.001905 0.112442
18000 9.000000 0.007410 0.106759
18100 9.050000 0.012486 0.095389
18200 9.100000 0.016867 0.079112
18300 9.150000 0.020331 0.058885
18400 9.200000 0.022708 0.035786
18500 9.250000 0.023881 0.010970
18600 9.300000 0.023796 -0.014367
18700 9.350000 0.022456 -0.039020
18800 9.400000 0.019925 -0.061799
18900 9.450000 0.016326 -0.081556
19000 9.500000 0.011838 -0.097225
19100 9.550000 0.006688 -0.107869
19200 9.600000 0.001147 -0.112741
19300 9.650000 -0.004482 -0.111350
19400 9.700000 -0.009880 -0.103535
19500 9.750000 -0.014732 -0.089530
19600 9.800000 -0.018741 -0.069998
19700 9.850000 -0.021657 -0.046029
19800 9.900000 -0.023294 -0.019085
19900 9.950000 -0.023545 0.009104
20000 10.000000 -0.022394 0.036698
20100 10.050000 -0.019915 0.061909
20200 10.100000 -0.016269 0.083166
20300 10.150000 -0.011685 0.099237
20400 10.200000 -0.006446 0.109302
20500 10.250000 -0.000862 0.112980
20600 10.300000 0.004746 0.110296
20700 10.350000 0.010068 0.101631
20800 10.400000 0.014821 0.087651
20900 10.450000 0.018759 0.069232
21000 10.500000 0.021687 0.047401
21100 10.550000 0.023461 0.023279
21200 10.600000 0.023996 -0.001953
21300 10.650000 0.023267 -0.027092
21400 10.700000 0.021309 -0.050936
21500 10.750000 0.018215 -0.072314
21600 10.800000 0.014137 -0.090114
21700 10.850000 0.009280 -0.103329
21800 10.900000 0.003895 -0.111111
21900 10.950000 -0.001730 -0.112833
22000 11.000000 -0.007282 -0.108165
22100 11.050000 -0.012440 -0.097140
22200 11.100000 -0.016897 -0.080208
22300 11.150000 -0.020377 -0.058253
22400 11.200000 -0.022660 -0.032566
22500 11.250000 -0.023598 -0.004760
22600 11.300000 -0.023131 0.023356
22700 11.350000 -0.021288 0.049949
22800 11.400000 -0.018190 0.073323
22900 11.450000 -0.014033 0.092066
23000 11.500000 -0.009078 0.105151
23100 11.550000 -0.003623 0.111982
23200 11.600000 0.002013 0.112390
23300 11.650000 0.007513 0.106592
23400 11.700000 0.012578 0.095120
23500 11.750000 0.016943 0.078757
23600 11.800000 0.020388 0.058464
23700 11.850000 0.022742 0.035321
23800 11.900000 0.023892 0.010484
23900 11.950000 0.023782 -0.014851
24000 12.000000 0.022418 -0.039480
24100 12.050000 0.019866 -0.062211
24200 12.100000 0.016248 -0.081899
24300 12.150000 0.011744 -0.097479
24400 12.200000 0.006584 -0.108019
24500 12.250000 0.001039 -0.112774
24600 12.300000 -0.004589 -0.111260
24700 12.350000 -0.009980 -0.103323
24800 12.400000 -0.014818 -0.089204
24900 12.450000 -0.018808 -0.069575
25000 12.500000 -0.021701 -0.045533
25100 12.550000 -0.023312 -0.018549
25200 12.600000 -0.023536 0.009646
25300 12.650000 -0.022358 0.037210
25400 12.700000 -0.019855 0.062360
25500 12.750000 -0.016189 0.083527
25600 12.800000 -0.011590 0.099489
25700 12.850000 -0.006340 0.109434
25800 12.900000 -0.000753 0.112987
25900 12.950000 0.004852 0.110184
26000 13.000000 0.010166 0.101410
26100 13.050000 0.014905 0.087336
26200 13.100000 0.018825 0.068841
26300 13.150000 0.021732 0.046955
26400 13.200000 0.023483 0.022801
26500 13.250000 0.023994 -0.002441
26600 13.300000 0.023241 -0.027566
26700 13.350000 0.021259 -0.051374
26800 13.400000 0.018145 -0.072694
26900 13.450000 0.014050 -0.090414
27000 13.500000 0.009180 -0.103533
27100 13.550000 0.003788 -0.111203
27200 13.600000 -0.001839 -0.112804
27300 13.650000 -0.007386 -0.108012
27400 13.700000 -0.012534 -0.096868
27500 13.750000 -0.016974 -0.079830
27600 13.800000 -0.020433 -0.057789
27700 13.850000 -0.022691 -0.032045
27800 13.900000 -0.023603 -0.004217
27900 13.950000 -0.023108 0.023887
28000 14.000000 -0.021240 0.050434
28100 14.050000 -0.018119 0.073731
28200 14.100000 -0.013945 0.092373
28300 14.150000 -0.008977 0.105342
28400 14.200000 -0.003515 0.112050
28500 14.250000 0.002121 0.112336
28600 14.300000 0.007615 0.106422
28700 14.350000 0.012669 0.094849
28800 14.400000 0.017019 0.078401
28900 14.450000 0.020444 0.058042
29000 14.500000 0.022776 0.034856
29100 14.550000 0.023901 0.009998
29200 14.600000 0.023767 -0.015335
29300 14.650000 0.022380 -0.039939
29400 14.700000 0.019806 -0.062622
29500 14.750000 0.016169 -0.082240
29600 14.800000 0.011650 -0.097732
29700 14.850000 0.006480 -0.108167
29800 14.900000 0.000930 -0.112805
29900 14.950000 -0.004696 -0.111168
30000 15.000000 -0.010079 -0.103108
