targetTemperature volume pressure temperature
10.000000 14191.306313 -0.022414 10.161235
10.000000 15137.393400 -0.014722 9.890747
10.000000 16083.480488 -0.015541 10.035187
10.000000 17029.567575 -0.010087 10.296003
10.000000 17975.654663 -0.007475 9.928955
10.000000 18921.741750 -0.007405 10.246485
10.000000 19867.828838 -0.009034 9.354873
10.000000 20813.915925 -0.009682 10.316574
10.000000 21760.003013 -0.010806 10.244359
10.000000 22706.090100 -0.007754 9.805347
10.000000 23652.177188 -0.007062 10.164490
10.000000 24598.264275 -0.006368 10.310747
10.000000 25544.351363 -0.004327 9.822827
10.000000 26490.438450 -0.004325 10.060297
10.000000 27436.525538 -0.003846 9.557102
10.000000 28382.612625 -0.003790 10.028150
10.000000 29328.699713 -0.005075 10.339000
10.000000 30274.786800 -0.004214 9.452492
10.000000 31220.873888 -0.003992 9.174790
10.000000 32166.960975 -0.004523 10.309197
10.000000 33113.048063 -0.003770 9.534470
10.000000 34059.135150 -0.002228 9.964426
10.000000 35005.222238 -0.001662 10.317973
10.000000 35951.309325 -0.004212 10.104886
10.000000 36897.396413 -0.001920 10.090353
10.000000 37843.483500 -0.002952 10.141600
10.000000 38789.570588 -0.003682 10.724645
10.000000 39735.657675 -0.001656 10.397554
10.000000 40681.744763 0.000510 9.926764
10.000000 41627.831850 -0.001417 10.147348
10.000000 42573.918938 -0.002189 9.479022
10.000000 43520.006025 -0.001352 9.830890
10.000000 44466.093112 -0.001425 10.102179
10.000000 45412.180200 -0.000935 10.177070
10.000000 46358.267287 -0.001391 10.669145
10.000000 47304.354375 -0.001514 10.304958
10.000000 48250.441463 -0.001300 10.201268
10.000000 49196.528550 -0.001506 9.984632
10.000000 50142.615637 -0.000840 9.843337
10.000000 51088.702725 -0.000787 10.061836
10.000000 52034.789812 -0.001292 9.886029
10.000000 52980.876900 -0.000775 10.779471
10.000000 53926.963987 -0.000535 9.530179
10.000000 54873.051075 -0.001147 9.245615
10.000000 55819.138162 -0.001194 10.101620
10.000000 56765.225250 -0.000881 10.885366
10.000000 57711.312337 -0.000856 9.566546
10.000000 58657.399425 -0.000453 9.957224
10.000000 59603.486512 -0.000889 11.027850
10.000000 60549.573600 -0.000963 10.292464
