targetTemperature volume pressure temperature
30.000000 14191.306313 0.024384 28.189023
30.000000 15137.393400 0.013992 28.671531
30.000000 16083.480488 0.016608 31.989715
30.000000 17029.567575 0.008805 28.718716
30.000000 17975.654663 0.005632 30.012847
30.000000 18921.741750 0.003157 30.533215
30.000000 19867.828838 0.002409 29.566763
30.000000 20813.915925 0.004730 32.466930
30.000000 21760.003013 -0.002060 28.794598
30.000000 22706.090100 0.005846 31.183318
30.000000 23652.177188 0.002340 29.267168
30.000000 24598.264275 -0.001590 28.693517
30.000000 25544.351363 0.005831 31.755383
30.000000 26490.438450 0.002806 29.367526
30.000000 27436.525538 0.005116 31.746607
30.000000 28382.612625 0.000139 29.880173
30.000000 29328.699713 0.002637 30.018967
30.000000 30274.786800 0.002380 29.494677
30.000000 31220.873888 0.002465 29.946037
30.000000 32166.960975 0.004703 30.175983
30.000000 33113.048063 0.002170 31.180821
30.000000 34059.135150 0.001318 30.301322
30.000000 35005.222238 0.002103 30.000743
30.000000 35951.309325 0.002335 29.530689
30.000000 36897.396413 0.003440 29.003283
30.000000 37843.483500 0.003396 29.653073
30.000000 38789.570588 0.001671 30.889972
30.000000 39735.657675 0.002417 29.637427
30.000000 40681.744763 0.004657 31.375705
30.000000 41627.831850 0.001833 29.850121
30.000000 42573.918938 0.001395 30.366798
30.000000 43520.006025 0.001925 28.968924
30.000000 44466.093112 0.001781 29.240838
30.000000 45412.180200 0.003161 29.985175
30.000000 46358.267287 0.001742 28.841283
30.000000 47304.354375 0.002452 28.257211
30.000000 48250.441463 0.002086 28.339227
30.000000 49196.528550 0.001823 28.886062
30.000000 50142.615637 0.002186 27.817604
30.000000 51088.702725 0.001791 30.427786
30.000000 52034.789812 0.002359 28.088032
30.000000 52980.876900 0.001021 26.693410
30.000000 53926.963987 0.001433 28.112519
30.000000 54873.051075 0.001239 27.779168
30.000000 55819.138162 0.002149 26.735613
30.000000 56765.225250 0.001959 26.377111
30.000000 57711.312337 0.001237 27.430892
30.000000 58657.399425 0.001704 25.937947
30.000000 59603.486512 0.001840 28.142617
30.000000 60549.573600 0.001419 25.748924
