targetTemperature volume pressure temperature
20.000000 14191.306313 -0.008363 20.056042
20.000000 15137.393400 -0.006087 20.590501
20.000000 16083.480488 -0.010605 19.452784
20.000000 17029.567575 -0.009741 20.075337
20.000000 17975.654663 -0.006055 19.053059
20.000000 18921.741750 -0.003942 20.704665
20.000000 19867.828838 -0.006272 20.025973
20.000000 20813.915925 -0.004186 20.913557
20.000000 21760.003013 -0.004283 19.284364
20.000000 22706.090100 -0.003278 19.803770
20.000000 23652.177188 -0.003413 19.321891
20.000000 24598.264275 -0.002696 19.503662
20.000000 25544.351363 -0.002140 20.744534
20.000000 26490.438450 -0.002549 19.770735
20.000000 27436.525538 -0.001208 21.125181
20.000000 28382.612625 -0.002316 19.421903
20.000000 29328.699713 -0.002687 18.897070
20.000000 30274.786800 -0.001375 20.129514
20.000000 31220.873888 -0.003876 19.796126
20.000000 32166.960975 -0.000415 21.412944
20.000000 33113.048063 -0.001071 18.913246
20.000000 34059.135150 -0.002462 17.718746
20.000000 35005.222238 -0.002022 20.362770
20.000000 35951.309325 -0.000966 19.053801
20.000000 36897.396413 -0.001049 20.552478
20.000000 37843.483500 -0.000534 20.346987
20.000000 38789.570588 -0.001137 19.286941
20.000000 39735.657675 -0.000158 19.980645
20.000000 40681.744763 -0.000135 19.447122
20.000000 41627.831850 0.000003 20.656528
20.000000 42573.918938 -0.000647 20.440851
20.000000 43520.006025 -0.000760 19.386931
20.000000 44466.093112 -0.002058 19.579219
20.000000 45412.180200 -0.000328 19.825337
20.000000 46358.267287 -0.000303 19.243968
20.000000 47304.354375 0.000827 20.348992
20.000000 48250.441463 0.000384 21.048938
20.000000 49196.528550 0.000447 20.746222
20.000000 50142.615637 0.000498 18.861287
20.000000 51088.702725 -0.000533 21.026070
20.000000 52034.789812 0.000124 21.275820
20.000000 52980.876900 0.000061 22.326409
20.000000 53926.963987 0.000823 20.757743
20.000000 54873.051075 0.000151 21.129065
20.000000 55819.138162 0.001928 23.863982
20.000000 56765.225250 0.000417 21.141779
20.000000 57711.312337 0.000681 20.354348
20.000000 58657.399425 0.000806 21.342026
20.000000 59603.486512 0.000865 22.271052
20.000000 60549.573600 0.001336 21.296145
