targetTemperature volume pressure temperature
40.000000 14191.306313 0.047356 37.185193
40.000000 15137.393400 0.033451 39.750878
40.000000 16083.480488 0.025902 39.578276
40.000000 17029.567575 0.015730 38.891774
40.000000 17975.654663 0.016195 40.962033
40.000000 18921.741750 0.013837 41.051384
40.000000 19867.828838 0.014071 38.224220
40.000000 20813.915925 0.015523 39.668565
40.000000 21760.003013 0.010704 42.296032
40.000000 22706.090100 0.005959 40.023226
40.000000 23652.177188 0.007574 39.457501
40.000000 24598.264275 0.010063 40.894915
40.000000 25544.351363 0.008232 38.742033
40.000000 26490.438450 0.010018 40.468316
40.000000 27436.525538 0.004939 39.300035
40.000000 28382.612625 0.006596 41.823925
40.000000 29328.699713 0.009751 38.687747
40.000000 30274.786800 0.007757 40.614175
40.000000 31220.873888 0.005718 40.175707
40.000000 32166.960975 0.006416 39.974572
40.000000 33113.048063 0.002709 38.204960
40.000000 34059.135150 0.005524 39.439620
40.000000 35005.222238 0.006660 39.834697
40.000000 35951.309325 0.003920 38.106603
40.000000 36897.396413 0.004233 38.885171
40.000000 37843.483500 0.005722 38.839772
40.000000 38789.570588 0.004417 37.349260
40.000000 39735.657675 0.005146 37.091781
40.000000 40681.744763 0.004217 38.066467
40.000000 41627.831850 0.004258 40.966483
40.000000 42573.918938 0.004263 36.962346
40.000000 43520.006025 0.005089 38.856932
40.000000 44466.093112 0.003188 37.304690
40.000000 45412.180200 0.003770 37.497433
40.000000 46358.267287 0.004552 37.545108
40.000000 47304.354375 0.003506 36.911173
40.000000 48250.441463 0.004347 38.273245
40.000000 49196.528550 0.003081 39.163297
40.000000 50142.615637 0.003672 39.847755
40.000000 51088.702725 0.003440 38.296859
40.000000 52034.789812 0.002667 37.426930
40.000000 52980.876900 0.003842 36.290767
40.000000 53926.963987 0.003563 37.490937
40.000000 54873.051075 0.003227 36.953883
40.000000 55819.138162 0.003713 38.870237
40.000000 56765.225250 0.003426 40.311004
40.000000 57711.312337 0.002994 38.738450
40.000000 58657.399425 0.003605 38.293826
40.000000 59603.486512 0.003601 39.232031
40.000000 60549.573600 0.002509 38.466815
